,countries,population
0,Ireland,4761865
1,Hungary,9769526
2,Spain,46733038
3,Belgium,11431406
4,Luxembourg,626108
5,Finland,5501043
6,Sweden,10409248
7,Denmark,5827463
8,Poland,38382576
9,Lithuania,2790842
10,Italy,60317000
11,Austria,8809212
12,Greece,10760421
13,Portugal,10347892
14,France,67063703
15,United Kingdom,66022273
16,Germany,83149300
17,Estonia,1324820
18,Latvia,1909000
19,Czech Republic,10701777
20,Slovakia,5397036
21,Slovenia,2066880
22,Romania,19586539
23,Bulgaria,7000039
24,Croatia,4105493
25,Cyprus,1141166
26,Malta,465292
27,Kingdom of the Netherlands,17100715
